Simulations begin: 2025-06-26 19:01:09.450212
annealing reverse iteration: 90 | coverage level: 0.9 | exploration level: 0.8266796571038292
annealing reverse iteration: 100 | coverage level: 0.8518518518518519 | exploration level: 0.8259212696365906
----- Starting simulation [penalty-constant] : 15 @ 2025-06-26 20:14:33.931464-----
penalty iteration: 10 | coverage level: 0.6 | exploration level: 0.7194381475770402
penalty iteration: 20 | coverage level: 0.7 | exploration level: 0.7283241284162777
penalty iteration: 30 | coverage level: 0.7666666666666667 | exploration level: 0.7383124956257264
penalty iteration: 40 | coverage level: 0.7333333333333333 | exploration level: 0.7481555384187485
penalty iteration: 50 | coverage level: 0.7 | exploration level: 0.7531085875083854
penalty iteration: 60 | coverage level: 0.8 | exploration level: 0.7628672484472594
penalty iteration: 70 | coverage level: 0.8 | exploration level: 0.7756055718027791
penalty iteration: 80 | coverage level: 0.9 | exploration level: 0.7729557980208911
penalty iteration: 90 | coverage level: 0.9 | exploration level: 0.7716843340629905
penalty iteration: 100 | coverage level: 0.7777777777777778 | exploration level: 0.7642677179225609
----- Starting simulation [systematic-constant] : 16 @ 2025-06-26 20:18:36.579705-----
